Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
1.47 82.855 38.666 0.0017152466400898647
1.48 81.960 38.475 0.0016779018034965357
1.49 82.297 37.943 0.001578201021570738
1.50 --undefined-- 37.626 0.0015216264792705125
1.51 --undefined-- 37.547 0.0015079790965300697
1.52 --undefined-- 37.781 0.0015490263917920352
1.53 --undefined-- 38.053 0.0015983642181118043
1.54 --undefined-- 37.848 0.0015610943902032485
1.55 --undefined-- 36.957 0.0014088346684874877
1.56 162.021 35.545 0.0011974468524233665
1.57 158.306 32.366 0.0008305217763095276
1.58 149.649 26.901 0.00044267160205265415
1.59 --undefined-- 20.749 0.00021801668891421088
1.60 --undefined-- 17.260 0.00014589111969187627
1.61 --undefined-- 16.910 0.0001401284049634316
1.62 --undefined-- 16.391 0.00013200543836972367
1.63 --undefined-- 15.356 0.0001171712560183519
1.64 --undefined-- 13.612 9.585546054323762e-005
1.65 --undefined-- 10.784 6.922326939437197e-005
1.66 --undefined-- 8.752 5.477833763080516e-005
1.67 --undefined-- 7.368 4.6712445646997084e-005
1.68 --undefined-- 5.918 3.953042085433475e-005
1.69 --undefined-- 4.889 3.5113986402114395e-005
1.70 --undefined-- 3.716 3.067773335889675e-005
1.71 --undefined-- 4.645 3.41397342452866e-005
1.72 --undefined-- 7.013 4.4839280718295155e-005
1.73 --undefined-- 7.774 4.8947967712388023e-005
1.74 --undefined-- 12.378 8.316702456542687e-005
1.75 --undefined-- 22.908 0.0002795230473964922
1.76 --undefined-- 28.777 0.0005494185760074787
1.77 --undefined-- 29.950 0.0006288312357281346
1.78 --undefined-- 26.602 0.00042770666560547387
1.79 --undefined-- 24.410 0.0003322854497439616
1.80 --undefined-- 34.746 0.001092208555246121
1.81 --undefined-- 41.079 0.0022644565125043573
1.82 169.376 43.870 0.0031226202986027202
1.83 174.881 44.171 0.0032327534908282124
