Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
2.35 --undefined-- 18.784 0.00017387221243068789
2.36 --undefined-- 16.723 0.00013714622389107472
2.37 --undefined-- 16.745 0.00013749403433946063
2.38 --undefined-- 17.178 0.00014452645849395113
2.39 --undefined-- 18.100 0.00016070564799925454
2.40 --undefined-- 20.235 0.0002054957737859365
2.41 --undefined-- 22.008 0.00025201011330331296
2.42 --undefined-- 22.457 0.0002653762362154518
2.43 --undefined-- 22.137 0.0002557792062343014
2.44 --undefined-- 21.681 0.0002427045753568053
2.45 --undefined-- 22.479 0.00026604687473784556
2.46 --undefined-- 22.862 0.00027805313376000926
2.47 --undefined-- 21.231 0.00023045962673436257
2.48 --undefined-- 18.640 0.00017100638625000626
2.49 --undefined-- 15.664 0.0001213994804037306
2.50 --undefined-- 14.431 0.00010533344810880942
2.51 --undefined-- 16.449 0.00013288636478644096
2.52 --undefined-- 18.551 0.0001692673658572906
2.53 --undefined-- 19.707 0.00019337443377317958
2.54 --undefined-- 19.710 0.00019342390798473096
2.55 --undefined-- 18.848 0.0001751518956570409
2.56 --undefined-- 20.281 0.0002065696574758389
2.57 --undefined-- 23.655 0.0003046215621910115
2.58 --undefined-- 25.427 0.0003735688682093311
2.59 --undefined-- 26.084 0.00040290855441276185
2.60 --undefined-- 25.350 0.0003702886514676979
2.61 --undefined-- 22.536 0.0002677990195921959
2.62 --undefined-- 21.172 0.0002288892622914994
2.63 --undefined-- 22.735 0.00027401669354903214
2.64 --undefined-- 24.370 0.0003307687694366351
2.65 --undefined-- 24.389 0.0003314839205272074
2.66 --undefined-- 22.410 0.0002639613649528343
2.67 --undefined-- 20.439 0.00021036816918266663
2.68 --undefined-- 18.898 0.00017617171052309482
2.69 --undefined-- 16.430 0.00013259502693315427
2.70 --undefined-- 14.925 0.00011149701529473
2.71 --undefined-- 15.377 0.00011745856969330643
2.72 --undefined-- 15.637 0.00012102615311380868
2.73 --undefined-- 15.321 0.00011669959862392436
2.74 --undefined-- 14.926 0.0001115161429755245
2.75 --undefined-- 14.711 0.00010878963850136484
2.76 --undefined-- 13.917 9.928926986567537e-005
2.77 --undefined-- 13.182 9.122630912522281e-005
2.78 --undefined-- 13.977 9.997010884761661e-005
2.79 --undefined-- 14.481 0.00010594045121809047
2.80 --undefined-- 14.943 0.00011173750800382606
2.81 --undefined-- 15.922 0.00012505846900280837
2.82 --undefined-- 16.314 0.00013084196647557525
2.83 --undefined-- 15.462 0.00011861055650967582
2.84 --undefined-- 14.670 0.00010827470010135086
2.85 --undefined-- 14.876 0.0001108700840188465
2.86 --undefined-- 15.299 0.00011640209376677389
2.87 --undefined-- 15.477 0.0001188173988064956
2.88 --undefined-- 14.606 0.0001074782377085125
2.89 --undefined-- 13.158 9.097325326517345e-005
2.90 --undefined-- 13.308 9.25646873982785e-005
2.91 --undefined-- 14.185 0.00010239536716175584
2.92 --undefined-- 14.223 0.00010284895694222226
2.93 --undefined-- 14.582 0.00010718592371805713
2.94 --undefined-- 14.579 0.00010714563445318329
2.95 --undefined-- 14.141 0.0001018738082906019
2.96 --undefined-- 14.978 0.00011217977109927429
2.97 --undefined-- 15.470 0.00011871525345663616
2.98 --undefined-- 14.910 0.00011131128860478973
2.99 --undefined-- 14.586 0.0001072303173334245
3.00 --undefined-- 14.303 0.00010379514115716764
3.01 --undefined-- 13.065 9.000506635499802e-005
3.02 --undefined-- 12.813 8.743434734969708e-005
3.03 --undefined-- 14.645 0.00010796830321501976
3.04 --undefined-- 15.513 0.00011930617369864916
3.05 --undefined-- 15.407 0.00011786721309041114
3.06 --undefined-- 14.849 0.00011053049623606025
3.07 --undefined-- 14.323 0.0001040383203051196
3.08 --undefined-- 14.242 0.00010306964772809666
3.09 --undefined-- 14.293 0.00010367127334739056
3.10 --undefined-- 14.434 0.00010536949998662414
3.11 --undefined-- 14.791 0.0001097948826820228
3.12 --undefined-- 14.779 0.000109646706512866
3.13 --undefined-- 14.104 0.00010144963849667007
3.14 --undefined-- 12.926 8.857763705375426e-005
3.15 --undefined-- 13.029 8.96363098233856e-005
3.16 --undefined-- 15.314 0.00011661255273287482
3.17 --undefined-- 15.937 0.0001252724383707648
3.18 --undefined-- --undefined-- --undefined--
3.19 --undefined-- --undefined-- --undefined--
3.20 --undefined-- --undefined-- --undefined--
3.21 --undefined-- --undefined-- --undefined--
Here are the results for channel 2 (oral): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined--
0.03 --undefined-- --undefined-- --undefined--
0.04 --undefined-- --undefined-- --undefined--
0.05 --undefined-- 15.650 0.00012120941222499924
0.06 --undefined-- 16.878 0.00013961281609339512
0.07 --undefined-- 17.097 0.00014317367970843916
0.08 --undefined-- 15.973 0.00012579516354032717
0.09 --undefined-- 15.338 0.0001169276487128172
0.10 --undefined-- 16.172 0.00012871628473740926
0.11 --undefined-- 16.435 0.00013267809599176066
0.12 --undefined-- 15.689 0.00012175668498572909
0.13 --undefined-- 14.874 0.00011085039151842641
0.14 --undefined-- 14.777 0.00010961829347311244
0.15 --undefined-- 15.410 0.00011790710620898092
0.16 --undefined-- 19.590 0.00019078163140183162
0.17 --undefined-- 30.557 0.0006743251889155973
0.18 233.481 38.239 0.0016330064155042022
0.19 229.177 41.859 0.002477326276055548
0.20 216.216 43.614 0.003031989436102499
