Here	are	the	results	for	Channel	1	(nasal):	time	-	pitch(Hz)	-	Amplitude(dB)	-	RMSqIntensity(Pa)
2.24	136.383	74.863	0.110707485		2.24	136.409	65.963	0.039734282		0.26411736				
2.25	138.161	74.466	0.105760496		2.25	137.892	65.725	0.038660829		0.267694742				
2.26	140.413	74.235	0.102987765		2.26	139.759	65.228	0.036513535		0.261743329				
2.27	143.332	74.359	0.104467783		2.27	142.639	64.601	0.033970406		0.2453832				
2.28	145.225	74.914	0.111362183		2.28	145.02	64.383	0.033126745		0.229268397				
2.29	149.495	75.656	0.121287995		2.29	149.397	64.55	0.033771853		0.217798826				
2.3	152.035	76.556	0.13452574		2.3	151.942	64.903	0.03517012		0.207253847				
2.31	155.989	77.689	0.153277402		2.31	156.103	65.59	0.038066065		0.198941024				
2.32	159.344	78.84	0.174996752		2.32	159.442	66.509	0.042315435		0.194721867				
2.33	162.609	79.913	0.19800147		2.33	162.609	67.521	0.047540992		0.193616173				
2.34	166.079	80.576	0.213717123		2.34	166.231	68.285	0.051916298		0.195443396				
2.35	166.515	79.842	0.196398313		2.35	166.279	67.761	0.048875344		0.199268622				
2.36	164.767	76.7	0.13677874		2.36	163.615	64.877	0.035064434		0.204049036				
2.37	--undefined--	70.305	0.065504088		2.37	--undefined--	59.076	0.017981044		0.215380199				
2.38	--undefined--	59.948	0.019879823		2.38	--undefined--	51.773	0.007756651		0.280667176				
2.39	--undefined--	47.783	0.004899989		2.39	--undefined--	46.897	0.00442463		0.47451055				
2.4	--undefined--	43.166	0.002879602		2.4	--undefined--	43.128	0.002866923		0.498896816				
2.41	--undefined--	41.022	0.002249711		2.41	--undefined--	39.66	0.001923281		0.460887731				
2.42	--undefined--	46.59	0.004270864		2.42	--undefined--	39.09	0.001801023		0.296616749				
2.43	--undefined--	60.121	0.020281503		2.43	--undefined--	47.785	0.004900804		0.194613005				
2.44	--undefined--	71.917	0.078860636		2.44	--undefined--	59.302	0.018456226		0.189650857				
2.45	--undefined--	78.99	0.178040809		2.45	--undefined--	66.429	0.041925473		0.190599543				
2.46	173.432	82.245	0.258992195		2.46	175.182	69.576	0.060231881		0.188682138				
2.47	169.701	82.86	0.278004846		2.47	170.935	69.714	0.061196352		0.180413136				
2.48	165.64	82.391	0.263374216		2.48	165.439	68.447	0.052888174		0.167228782				
2.49	164.791	82.147	0.256097067		2.49	164.666	67.75	0.048809893		0.160081267				
2.5	163.884	82.111	0.255024372		2.5	163.842	67.678	0.048410401		0.159541374				
2.51	163.657	81.986	0.251371713		2.51	163.648	67.598	0.047967257		0.160243942				
2.52	163.864	81.865	0.247915762		2.52	163.945	67.534	0.047613112		0.16111154				
2.53	164.688	81.83	0.246910581		2.53	164.763	67.631	0.048145778		0.163174853				
2.54	165.628	81.916	0.249373417		2.54	165.653	67.967	0.050046775		0.167145625				
2.55	166.285	82.042	0.253009897		2.55	166.24	68.475	0.053063528		0.173368623				
2.56	166.133	81.607	0.240643641		2.56	166.074	68.422	0.052738507		0.179760449				
2.57	163.758	79.946	0.198765537		2.57	163.434	67.017	0.044862135		0.184142198				
2.58	162.553	77.849	0.156119962		2.58	162.653	65.217	0.036464229		0.189341757				
2.59	166.656	77.899	0.157035962		2.59	166.729	65.782	0.038916661		0.198602398				
2.6	171.622	79.668	0.192497092		2.6	171.68	67.917	0.049758761		0.205397559				
2.61	175.396	81.276	0.231641446		2.61	175.339	69.754	0.061477417		0.209735451				
2.62	178.069	82.184	0.257162712		2.62	178.09	70.881	0.06999356		0.21394534				
2.63	179.602	82.35	0.262142219		2.63	179.533	71.315	0.073580947		0.21917149				
2.64	180.156	81.711	0.24354589		2.64	180.154	70.911	0.070240323		0.223847702				
2.65	179.586	80.021	0.200479578		2.65	179.716	69.398	0.059013653		0.227418852				
2.66	176.892	77.009	0.141742288		2.66	176.693	66.616	0.042836202		0.232075806				
2.67	172.729	72.498	0.084323767		2.67	171.693	62.555	0.026838917		0.241438189				
2.68	169.673	66.458	0.042066951		2.68	168.594	57.511	0.015016298		0.26305963				
2.69	--undefined--	58.949	0.017721198		2.69	--undefined--	52.492	0.00842608		0.322254583				
2.7	--undefined--	51.989	0.007951701		2.7	--undefined--	48.607	0.00538746		0.403882964				
2.71	--undefined--	48.848	0.005538972		2.71	--undefined--	44.874	0.003505295		0.387570928				
2.72	--undefined--	47.978	0.005011233		2.72	--undefined--	42.065	0.002536794		0.336087062				
2.73	--undefined--	49.214	0.005777214		2.73	--undefined--	40.979	0.002238512		0.279264975				
2.74	--undefined--	50.975	0.007075726		2.74	--undefined--	41.463	0.002366996		0.250668852				
2.75	--undefined--	51.894	0.007865765		2.75	--undefined--	42.186	0.002572495		0.246448624				
2.76	--undefined--	51.935	0.007903141		2.76	--undefined--	42.616	0.002702896		0.25484502				
2.77	--undefined--	52.893	0.008824262		2.77	--undefined--	44.149	0.003224749		0.267636021				
2.78	--undefined--	61.095	0.022686738		2.78	--undefined--	52.093	0.00804746		0.26184057				
2.79	197.736	70.37	0.065997432		2.79	--undefined--	61.065	0.02260957		0.25516685				
2.8	191.986	76.249	0.129857721		2.8	193.302	66.747	0.043488785		0.250877771				
2.81	187.826	79.68	0.192760377		2.81	188.347	70.035	0.063497865		0.247788576				
2.82	188.787	81.605	0.240589632		2.82	188.794	71.922	0.078908535		0.246976487				
2.83	191.276	82.667	0.271878291		2.83	191.108	73.007	0.089409016		0.247473449				
2.84	193.869	83.257	0.290974923		2.84	193.734	73.605	0.095782626		0.247655478				
2.85	195.896	83.578	0.301952023		2.85	195.868	73.925	0.099377398		0.247620515				
2.86	197.181	83.672	0.305226464		2.86	197.17	74.025	0.100526637		0.24775322				
2.87	197.089	83.563	0.301408847		2.87	197.179	73.924	0.099367837		0.247938169				
2.88	196.019	83.266	0.291292156		2.88	196.214	73.658	0.096365889		0.248584778				
2.89	193.917	82.797	0.275967466		2.89	194.129	73.243	0.091868492		0.249753973				
2.9	190.816	82.176	0.256940719		2.9	191.152	72.688	0.086188464		0.251183718				
2.91	187.411	81.419	0.235503196		2.91	187.768	72.006	0.079676563		0.252797207				
2.92	183.202	80.529	0.21256618		2.92	183.562	71.19	0.07253132		0.254408825				
2.93	177.724	79.501	0.188839613		2.93	178.408	70.18	0.064571871		0.254810357				
2.94	171.042	78.376	0.165888748		2.94	171.75	68.934	0.055938905		0.252172822				
2.95	163.455	77.184	0.144613073		2.95	163.435	67.7	0.048531157		0.251268997				
2.96	155.429	75.808	0.123426485		2.96	155.196	66.627	0.042892581		0.25789335				
2.97	149.498	73.923	0.09934888		2.97	149.235	65.348	0.037021518		0.271477668				
2.98	144.958	71.516	0.075306287		2.98	144.745	63.94	0.031477926		0.29478071				
2.99	140.982	68.878	0.055582199		2.99	141.115	62.631	0.027076174		0.327567222				
3	138.788	66.254	0.041089852		3	139.136	61.342	0.02334191		0.36227334				
3.01	135.915	63.555	0.030113895		3.01	136.066	59.849	0.019654621		0.394920769				
3.02	135.139	60.76	0.021829944		3.02	135.753	57.984	0.015856729		0.420751623				
3.03	135.894	58.057	0.015990802		3.03	136.652	55.815	0.012352791		0.435823042				
3.04	--undefined--	55.744	0.012253013		3.04	--undefined--	54.075	0.010110129		0.452088942				
3.05	--undefined--	53.769	0.009760927		3.05	--undefined--	54.944	0.011174917		0.533769595				
3.06	--undefined--	51.499	0.007516204		3.06	--undefined--	57.352	0.014745114		0.662364825				
3.07	--undefined--	48.867	0.005550894		3.07	--undefined--	57.398	0.014822083		0.727536428				
3.08	--undefined--	45.895	0.003942601		3.08	--undefined--	54.522	0.010644721		0.729724142				
3.09	--undefined--	42.195	0.002575027		3.09	--undefined--	51.05	0.007137216		0.734867952				
3.1	--undefined--	40.312	0.00207309		3.1	--undefined--	49.58	0.006025974		0.744033436				
3.11	--undefined--	39.691	0.001930128		3.11	--undefined--	48.343	0.005226403		0.730298404				
										0.294565457				
														
4	--undefined--	37.602	0.001517504		4	--undefined--	44.679	0.003427712		0.693136869				
4.01	--undefined--	39.725	0.001937735		4.01	--undefined--	52.928	0.008859768		0.820538581				
4.02	--undefined--	47.965	0.00500338		4.02	184.872	64.042	0.031849879		0.864235078				
4.03	--undefined--	56.414	0.013235289		4.03	189.257	72.367	0.083054312		0.862547059				
4.04	--undefined--	61.189	0.022933401		4.04	--undefined--	76.983	0.141317212		0.860375553				
4.05	--undefined--	62.934	0.028037867		4.05	--undefined--	78.83	0.174801421		0.861772996				
